Provinsi,Kabupaten/Kota,Kecamatan,Name with Street,Original Name,Street Detail,Full Address Info,Latitude,Longitude
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jl. Jeruk Purut No.9 1, RT.1/RW.3",ATM BNI,"Jl. Jeruk Purut No.9 1, RT.1/RW.3","5,0 (2) ATM ATM · Jl. Jeruk Purut No.9 1, RT.1/RW.3",-6.2897183,106.8125728
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jl. RS. Fatmawati Raya, RT.6/RW.5",ATM BNI,"Jl. RS. Fatmawati Raya, RT.6/RW.5","3,5 (2) ATM ATM · PQJW+QXQ, Jl. RS. Fatmawati Raya, RT.6/RW.5 Buka 24 jam Buka 24 jam Buka 24 jam",-6.2680377,106.7974991
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI IPDN - Jl. Ampera Raya No.45 8, RT.8/RW.2",ATM BNI IPDN,"Jl. Ampera Raya No.45 8, RT.8/RW.2","3,7 (3) ATM ATM · Jl. Ampera Raya No.45 8, RT.8/RW.2 Buka 24 jam Buka 24 jam Buka 24 jam",-6.284676,106.8183189
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jalan Lebak Bulus Raya No.8, Kebayoran Lama, RT.10/RW.7",ATM BNI,"Jalan Lebak Bulus Raya No.8, Kebayoran Lama, RT.10/RW.7","2,0 (2) ATM ATM · Jalan Lebak Bulus Raya No.8, Kebayoran Lama, RT.10/RW.7 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.2882053,106.7762022
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jl. Abdul Majid Raya No.33 1, RT.1/RW.2",ATM BNI,"Jl. Abdul Majid Raya No.33 1, RT.1/RW.2","2,0 (1) ATM ATM · Jl. Abdul Majid Raya No.33 1, RT.1/RW.2 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 1500046",-6.2670828,106.8020502
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM Bank BNI - Jl. TB Simatupang No.36 1, RT.1/RW.2",ATM Bank BNI,"Jl. TB Simatupang No.36 1, RT.1/RW.2","Tidak ada ulasan ATM ATM · Sovereign Plaza, Jl. TB Simatupang No.36 1, RT.1/RW.2 Tutup ⋅ Buka Sab pukul 08.00",-6.2930242,106.8030431
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,BNI UPN Veteran Pondok Labu,BNI UPN Veteran Pondok Labu,,"4,5 (32) Bank Bank Tutup ⋅ Buka Sen pukul 08.00 · (021) 75816185",-6.3155102,106.7934206
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"BNI CILANDAK KKO - Jl. Raya Cilandak KKO No.42, RT.14/RW.8",BNI CILANDAK KKO,"Jl. Raya Cilandak KKO No.42, RT.14/RW.8","4,3 (53) Bank Bank · Cilandak Timur, Pasar Minggu, Jl. Raya Cilandak KKO No.42, RT.14/RW.8 Tutup ⋅ Buka Sen pukul 08.00 · (021) 78837580",-6.3103174,106.8139905
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI SPBU M KAHFI 1 - Jl. Moh. Kahfi 1 No.51 2, RT.2/RW.6",ATM BNI SPBU M KAHFI 1,"Jl. Moh. Kahfi 1 No.51 2, RT.2/RW.6","3,6 (7) ATM ATM · Jl. Moh. Kahfi 1 No.51 2, RT.2/RW.6 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.3135274,106.8122363
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI INS.ILMU PEMERINTAHAN / IIP AMPERA - Jl. Ampera Raya, RT.8/RW.2",ATM BNI INS.ILMU PEMERINTAHAN / IIP AMPERA,"Jl. Ampera Raya, RT.8/RW.2","4,0 (1) Bank Bank · Jl. Ampera Raya, RT.8/RW.2 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.28578,106.8187
